f1_calm,precision_calm,recall_calm,f1_elevated,precision_elevated,recall_elevated,f1_stress,precision_stress,recall_stress,f1_macro_avg,precision_macro_avg,recall_macro_avg,f1_weighted_avg,precision_weighted_avg,recall_weighted_avg,accuracy,seed,fold,mode,model,f1_not_stress,precision_not_stress,recall_not_stress
,,,,,,0.9405,0.9655,0.9168,0.95,0.9542,0.9468,0.9516,0.9523,0.9518,0.9518,100,4,binary,rf,0.9595,0.9429,0.9767
,,,,,,0.9642,0.976,0.9526,0.9696,0.9715,0.968,0.9705,0.9707,0.9706,0.9706,100,4,binary,xgb,0.9751,0.9669,0.9834
,,,,,,0.7321,0.7542,0.7113,0.7754,0.7785,0.7733,0.7827,0.7826,0.7838,0.7838,100,4,binary,lstm,0.8187,0.8028,0.8353
,,,,,,0.4626,0.4575,0.4678,0.5367,0.5366,0.5368,0.5492,0.55,0.5485,0.5485,100,4,binary,cnn_gaf,0.6107,0.6157,0.6058
0.5704,0.5021,0.6601,0.2862,0.3914,0.2255,0.6207,0.5652,0.6883,0.4924,0.4862,0.5246,0.4766,0.4791,0.5015,0.5015,777,1,multiclass,lr,,,
0.7836,0.8965,0.6961,0.7317,0.7228,0.7408,0.799,0.7361,0.8736,0.7714,0.7851,0.7701,0.7684,0.7796,0.7686,0.7686,777,1,multiclass,rf,,,
0.8805,0.8904,0.8707,0.7729,0.8414,0.7147,0.7914,0.7234,0.8737,0.8149,0.8184,0.8197,0.8113,0.8195,0.8115,0.8115,777,1,multiclass,xgb,,,
0.534,0.4622,0.6322,0.536,0.651,0.4556,0.6001,0.5962,0.604,0.5567,0.5698,0.5639,0.5554,0.5767,0.5554,0.5554,777,1,multiclass,lstm,,,
0.285,0.3344,0.2482,0.5827,0.4366,0.8761,0.0056,0.4688,0.0028,0.2911,0.4132,0.3757,0.3126,0.4156,0.4136,0.4136,777,1,multiclass,cnn_gaf,,,
,,,,,,0.6632,0.594,0.7507,0.7399,0.7329,0.7592,0.7688,0.7853,0.7624,0.7624,777,1,binary,lr,0.8165,0.8719,0.7678
